date_created,date_sent,lead_id,company,buyer_name,buyer_role,website,form_url,segment,channel,opener_variant,sent,sent_count,replied,reply_sentiment,objection_tag,meeting_booked,teardown_requested,teardown_sent,install_call_booked,next_action,notes
2026-06-02,,beehex automation::buyer,BeeHex Automation,,President / Business Development,https://beehexautomation.com/,https://beehexautomation.com/,Robotics and AI integrator,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
2026-06-02,,integro technologies::buyer,Integro Technologies,,Sales Manager / Business Development,https://www.integro-tech.com/,https://www.integro-tech.com/,Machine vision AI integrator,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
2026-06-02,,even automation::buyer,Even Automation,,Owner / Sales Manager,https://www.evenautomation.com,https://www.evenautomation.com/contact-us,Industrial automation integrator,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
2026-06-02,,freedom automation::buyer,Freedom Automation,,Sales Manager / Engineering Manager,https://fainc.us/,https://fainc.us/,Robotic systems integrator,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
2026-06-02,,omni automation::buyer,Omni Automation,,President / Sales Manager,https://omniautomation.com/,https://omniautomation.com/,Industrial automation and vision,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
2026-06-02,,ez automation::buyer,EZ Automation,,Founder / Business Development,https://ezautomation.ai,https://ezautomation.ai/contact/,Industrial automation consulting,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
2026-06-02,,industrial tool inc::buyer,Industrial Tool Inc,,Sales Manager / Business Development,https://industrial-tool.com,https://industrial-tool.com/contact/,Robotic automation and custom machines,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
2026-06-02,,mcenery automation::buyer,McEnery Automation,,Sales Manager / Operations Leader,https://www.mceneryautomation.com,https://www.mceneryautomation.com/contact-us,Process automation integrator,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
2026-06-02,,accubilt::buyer,AccuBilt,,Sales Manager / Business Development,https://accubilt.com/,https://accubilt.com/,Turnkey automation systems,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
2026-06-02,,eamvision::buyer,EAMVision,,Owner / Sales Manager,https://eamvision.com/,https://eamvision.com/,Machine vision AI integrator,Email,dead_form_teardown,,0,,,,,,,,QUEUED,seeded by deal_threads_build_send_board.py
